job_id	out	verdict	required	mechanism	sample
w14:557	0	SIBLING_DEPENDENT	n5	ZEROED	eager=[-1.15794, -0.166029, 1.306189, 0.973745] et=[0.0, 0.0, 0.0, 0.0]
w14:571	2	COMPOSITIONAL	n3	WRONG-VALUE	eager=[-128.0, -128.0, -128.0, 0.0] et=[-5120.0, -5120.0, -5120.0, 2048.0]
w14:595	3	SIBLING_DEPENDENT	n7	WRONG-VALUE	eager=[0.0, 1.0, 1.0] et=[1.0, 1.0, 1.0]
w14:654	3	SIBLING_DEPENDENT	n2,n5	ZEROED	eager=[3.0, 3.0] et=[0.0, 0.0]
w14:79	0	COMPOSITIONAL	n0,n2	WRONG-VALUE	eager=[11.0, 2.0, 0.0, 0.0] et=[12.0, 3.0, 0.0, 0.0]
w15:380	3	SIBLING_DEPENDENT	n6	WRONG-VALUE	eager=[0.0, 0.0] et=[1.0, 1.0]
w15:633	2	SIBLING_DEPENDENT	n5	ZEROED	eager=[2.0, 2.0, 2.0, 2.0] et=[0.0, 0.0, 0.0, 0.0]
w15:775	0	SIBLING_DEPENDENT	n10	REF-NONFINITE (filter)	eager=[nan, nan, nan, nan] et=[0.0, 0.0, 0.0, 0.0]
w16:168	3	SIBLING_DEPENDENT	n3	WRONG-VALUE	eager=[112.122261] et=[120.5625]
w16:181	0	COMPOSITIONAL	n0	WRONG-VALUE	eager=[0.0] et=[1.0]
w16:21	0	SIBLING_DEPENDENT	n3,n7	ZEROED	eager=[0.60283, -0.806139, 1.17351, -0.835861] et=[0.0, 0.0, 0.0, 0.0]
w16:40	1	COMPOSITIONAL	n5	SCALE:0.857	eager=[7.0] et=[6.0]
w17:108	2	SIBLING_DEPENDENT	n8	ZEROED	eager=[-1.0, -4.0] et=[0.0, 0.0]
w17:758	2	SIBLING_DEPENDENT	n4,n7	ZEROED	eager=[1.0, 1.0, 1.0, 0.0] et=[0.0, 0.0, 0.0, 0.0]
w18:141	0	SIBLING_DEPENDENT	n5	ZEROED	eager=[-1.15794, -0.166029, 1.306189, 0.973745] et=[0.0, 0.0, 0.0, 0.0]
w18:185	4	SIBLING_DEPENDENT	n4	ZEROED	eager=[1.0, 1.0] et=[0.0, 0.0]
w18:506	1	COMPOSITIONAL	n1	ZEROED	eager=[0.0, 0.0, 0.0, 0.0] et=[0.0, 0.0, 0.0, 0.0]
w18:540	2	SIBLING_DEPENDENT	n4	REF-NONFINITE (filter)	eager=[nan] et=[65504.0]
w19:138	5	SIBLING_DEPENDENT	n2	ZEROED	eager=[6.0, 7.0, 7.0, 7.0] et=[0.0, 0.0, 0.0, 0.0]
w19:150	2	SIBLING_DEPENDENT	n6,n10	ZEROED	eager=[-1.777951, -0.185106] et=[0.0, 0.0]
