op	verdict	job	out	detail	eager	device	in_dtypes
asinh.out	CLEAN	w10:733	0	op reproduces eager alone	""	""	""
atan.out	CLEAN	w0:97	2	op reproduces eager alone	""	""	""
atan2.out	CLEAN	w0:54	2	op reproduces eager alone	""	""	""
atanh.out	GENUINE	w35:363	1	out[0] dtype torch.float16 vs torch.int64	[0.54932]	[-4.0]	["torch.float16", "torch.float16"]
avg_pool2d.out	CLEAN	w78:223	3	op reproduces eager alone	""	""	""
bitwise_and.Scalar	CLEAN	w104:369	0	op reproduces eager alone	""	""	""
bitwise_and.Scalar_out	GENUINE	w97:207	1	out[0] max|delta|=9.223e+18 (rtol=0.01 atol=0.001)	[-9.223372036854776e+18]	[0.0]	["torch.int64"]
bitwise_and.Tensor_out	GENUINE	w1:424	2	out[0] max|delta|=1.000e+00 (rtol=0.0 atol=0.0)	[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]	["torch.bool", "torch.bool"]
bitwise_left_shift.Tensor_Scalar	GENUINE	w101:659	3	out[0] max|delta|=2.147e+09 (rtol=0.0 atol=0.0)	[0.0, 0.0]	[-2147483648.0, -2147483648.0]	["torch.int32"]
bitwise_left_shift.Tensor_Scalar_out	GENUINE	w100:163	1	out[0] max|delta|=2.147e+09 (rtol=0.01 atol=0.001)	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[-1610612736.0, -2147483648.0, -1610612736.0, -1610612736.0, -1610612736.0, -536870912.0]	["torch.int32"]
bitwise_left_shift.Tensor_out	GENUINE	w0:732	0	out[0] max|delta|=9.223e+18 (rtol=0.0 atol=0.0)	[0.0, 0.0]	[-6.917529027641082e+18, -9.223372036854776e+18]	["torch.int64", "torch.int64"]
bitwise_not.out	CLEAN	w103:220	2	op reproduces eager alone	""	""	""
bitwise_or.Scalar	GENUINE	w112:672	0	out[0] dtype torch.int64 vs torch.float16	[4.0, 4.0]	[0.8584, 0.16443]	["torch.int64"]
bitwise_or.Scalar_out	CLEAN	w11:485	1	op reproduces eager alone	""	""	""
