job_id	out_idx	verdict	cone_size	required_siblings	detail
w15:207	3	GRAPHOPT	3	n2	needs siblings ['n2']
w15:246	0	OPERATOR	2		diverges alone (cone 2)
w15:247	1	OPERATOR	4		diverges alone (cone 4)
w15:248	1	OPERATOR	4		diverges alone (cone 4)
w15:254	1	OPERATOR	4		diverges alone (cone 4)
w15:257	3	OPERATOR	4		diverges alone (cone 4)
w15:262	0	OPERATOR	4		diverges alone (cone 4)
w15:275	0	OPERATOR	2		diverges alone (cone 2)
w15:277	0	OPERATOR	3		diverges alone (cone 3)
w15:284	2	NOREPRO	8		full graph diverges=False
w15:298	2	OPERATOR	4		diverges alone (cone 4)
w15:309	1	OPERATOR	5		diverges alone (cone 5)
w15:310	0	GRAPHOPT	5	n7	needs siblings ['n7']
w15:314	4	OPERATOR	3		diverges alone (cone 3)
w15:319	0	GRAPHOPT	6	n6	needs siblings ['n6']
w15:326	0	OPERATOR	3		diverges alone (cone 3)
w15:340	3	NOREPRO	6		full graph diverges=False
w15:350	3	NOREPRO	4		full graph diverges=False
w15:354	0	OPERATOR	3		diverges alone (cone 3)
w15:359	0	OPERATOR	5		diverges alone (cone 5)
w15:361	1	OPERATOR	4		diverges alone (cone 4)
w15:365	3	NOREPRO	3		full graph diverges=False
w15:369	2	GRAPHOPT	9	n7	needs siblings ['n7']
w15:383	0	OPERATOR	4		diverges alone (cone 4)
w15:398	0	GRAPHOPT	11	n6,n10,n11	needs siblings ['n6', 'n10', 'n11']
w15:4	3	OPERATOR	16		diverges alone (cone 16)
w15:400	0	OPERATOR	4		diverges alone (cone 4)
w15:428	0	OPERATOR	3		diverges alone (cone 3)
w15:460	0	OPERATOR	3		diverges alone (cone 3)
w15:466	0	OPERATOR	3		diverges alone (cone 3)
w15:500	2	NOREPRO	7		full graph diverges=False
w15:505	0	OPERATOR	2		diverges alone (cone 2)
w15:535	0	OPERATOR	5		diverges alone (cone 5)
w15:540	2	OPERATOR	4		diverges alone (cone 4)
w15:542	0	OPERATOR	2		diverges alone (cone 2)
w15:545	0	OPERATOR	2		diverges alone (cone 2)
w15:547	0	OPERATOR	3		diverges alone (cone 3)
w15:550	0	OPERATOR	2		diverges alone (cone 2)
w15:552	2	OPERATOR	5		diverges alone (cone 5)
w15:560	3	GRAPHOPT	4	n3	needs siblings ['n3']
w15:565	0	GRAPHOPT	5	n4	needs siblings ['n4']
w15:572	0	OPERATOR	6		diverges alone (cone 6)
w15:579	4	OPERATOR	3		diverges alone (cone 3)
w15:58	1	OPERATOR	3		diverges alone (cone 3)
w15:580	0	OPERATOR	2		diverges alone (cone 2)
w15:596	3	OPERATOR	3		diverges alone (cone 3)
w15:614	3	OPERATOR	3		diverges alone (cone 3)
w15:628	0	OPERATOR	4		diverges alone (cone 4)
w15:637	1	NOREPRO	6		full graph diverges=False
w15:642	0	OPERATOR	3		diverges alone (cone 3)
w15:645	1	GRAPHOPT	5	n5	needs siblings ['n5']
w15:650	0	OPERATOR	4		diverges alone (cone 4)
w15:651	1	GRAPHOPT	4	n7	needs siblings ['n7']
