w12:41	2	GRAPHOPT	7	n4	needs siblings ['n4']
w12:432	3	LOWERFAIL	4		dev=TIMEOUT
w12:438	3	LOWERFAIL	4		dev=TIMEOUT
w12:462	0	OPERATOR	6		diverges alone (cone 6)
w12:483	0	LOWERFAIL	5		dev=TIMEOUT
w12:492	2	LOWERFAIL	2		dev=TIMEOUT
w12:508	4	LOWERFAIL	6		dev=TIMEOUT
w12:551	1	LOWERFAIL	5		dev=TIMEOUT
w12:564	0	LOWERFAIL	2		dev=TIMEOUT
w12:6	0	LOWERFAIL	3		dev=TIMEOUT
w12:629	1	OPERATOR	4		diverges alone (cone 4)
w12:643	2	LOWERFAIL	3		dev=TIMEOUT
w12:656	3	LOWERFAIL	4		dev=TIMEOUT
w12:686	0	LOWERFAIL	7		dev=TIMEOUT
w12:687	1	LOWERFAIL	4		dev=TIMEOUT
w12:748	0	OPERATOR	6		diverges alone (cone 6)
w12:777	3	OPERATOR	6		diverges alone (cone 6)
w12:786	2	OPERATOR	7		diverges alone (cone 7)
w12:823	0	LOWERFAIL	3		dev=TIMEOUT
w12:83	0	LOWERFAIL	2		dev=TIMEOUT
w12:835	0	OPERATOR	3		diverges alone (cone 3)
w12:852	1	LOWERFAIL	7		dev=TIMEOUT
w12:880	1	OPERATOR	5		diverges alone (cone 5)
w12:914	0	OPERATOR	4		diverges alone (cone 4)
w12:983	0	LOWERFAIL	4		dev=TIMEOUT
w12:997	0	LOWERFAIL	3		dev=TIMEOUT
w13:1014	0	LOWERFAIL	6		dev=TIMEOUT
w13:1021	0	LOWERFAIL	5		dev=TIMEOUT
w13:1034	2	LOWERFAIL	7		dev=TIMEOUT
w13:148	3	LOWERFAIL	3		dev=TIMEOUT
w13:158	0	LOWERFAIL	2		dev=TIMEOUT
w13:188	0	OPERATOR	5		diverges alone (cone 5)
w1:321	0	LOWERFAIL	6		dev=TIMEOUT
w13:220	2	OPERATOR	3		diverges alone (cone 3)
w13:225	3	LOWERFAIL	4		dev=TIMEOUT
w13:23	0	OPERATOR	2		diverges alone (cone 2)
w13:269	0	NOREPRO	4		full graph diverges=False
w13:300	0	LOWERFAIL	4		dev=TIMEOUT
w13:324	3	LOWERFAIL	2		dev=TIMEOUT
w13:33	1	LOWERFAIL	3		dev=TIMEOUT
w13:359	3	LOWERFAIL	4		dev=TIMEOUT
w13:367	3	OPERATOR	2		diverges alone (cone 2)
w13:375	2	GRAPHOPT	8	n5,n6	needs siblings ['n5', 'n6']
w13:386	0	LOWERFAIL	7		dev=TIMEOUT
w13:421	1	OPERATOR	6		diverges alone (cone 6)
w13:427	0	LOWERFAIL	3		dev=TIMEOUT
w13:431	0	LOWERFAIL	3		dev=TIMEOUT
w13:456	2	LOWERFAIL	2		dev=TIMEOUT
w13:47	0	LOWERFAIL	4		dev=TIMEOUT
w13:470	3	LOWERFAIL	2		dev=TIMEOUT
w13:489	0	LOWERFAIL	4		dev=TIMEOUT
w1:349	0	LOWERFAIL	4		dev=TIMEOUT
w13:521	0	OPERATOR	3		diverges alone (cone 3)
w13:528	2	LOWERFAIL	4		dev=TIMEOUT
w13:57	2	LOWERFAIL	4		dev=TIMEOUT
w13:635	2	LOWERFAIL	3		dev=TIMEOUT
w13:642	3	LOWERFAIL	4		dev=TIMEOUT
w13:656	2	OPERATOR	3		diverges alone (cone 3)
w13:697	0	OPERATOR	3		diverges alone (cone 3)
w13:705	3	OPERATOR	3		diverges alone (cone 3)
w13:711	1	LOWERFAIL	4		dev=TIMEOUT
w13:716	1	LOWERFAIL	2		dev=TIMEOUT
w13:762	5	LOWERFAIL	3		align(et=2,eager=6)
w1:377	1	GRAPHOPT	6	n1,n6	needs siblings ['n1', 'n6']
w13:787	1	LOWERFAIL	7		dev=TIMEOUT
w1:379	0	LOWERFAIL	2		dev=TIMEOUT
w13:799	1	OPERATOR	3		diverges alone (cone 3)
w13:804	0	OPERATOR	3		diverges alone (cone 3)
w13:812	3	LOWERFAIL	3		dev=TIMEOUT
w13:8	2	OPERATOR	3		diverges alone (cone 3)
w13:836	3	LOWERFAIL	4		dev=TIMEOUT
w13:839	2	LOWERFAIL	5		dev=TIMEOUT
w13:844	1	LOWERFAIL	4		dev=TIMEOUT
w13:877	1	LOWERFAIL	10		dev=TIMEOUT
w13:935	2	LOWERFAIL	4		dev=TIMEOUT
w13:996	2	OPERATOR	5		diverges alone (cone 5)
w14:1014	1	OPERATOR	4		diverges alone (cone 4)
w14:10	3	LOWERFAIL	4		dev=TIMEOUT
w14:133	3	GRAPHOPT	5	n3	needs siblings ['n3']
w14:139	1	LOWERFAIL	2		dev=TIMEOUT
w14:141	0	OPERATOR	2		diverges alone (cone 2)
w14:144	2	LOWERFAIL	5		dev=TIMEOUT
w14:147	3	LOWERFAIL	4		dev=TIMEOUT
w14:173	0	OPERATOR	2		diverges alone (cone 2)
w14:174	1	LOWERFAIL	7		dev=TIMEOUT
w14:19	2	LOWERFAIL	3		dev=TIMEOUT
w14:192	1	OPERATOR	3		diverges alone (cone 3)
w14:22	1	OPERATOR	3		diverges alone (cone 3)
w14:221	3	LOWERFAIL	3		dev=TIMEOUT
w14:240	3	LOWERFAIL	3		dev=TIMEOUT
w14:255	1	LOWERFAIL	5		dev=TIMEOUT
w14:269	2	GRAPHOPT	11	n10	needs siblings ['n10']
